rare_count,method,class_id,mean_coverage,mean_set_size,mean_ordinal_span,threshold_variance,preliminary_threshold_variance,mean_abs_correction,infinite_threshold_rate,infinite_correction_rate,final_support
5,independent_mondrian,0,1.0,1.0004423118234085,1.0004423118234085,,,,1,0,
5,independent_mondrian,1,0.9029351975252152,1.910999007713046,1.9190628179008768,0.0014425344272496242,,,0,0,
5,independent_mondrian,2,0.8993040744494398,1.9490861948760199,2.917193947417421,0.0017750907799685932,,,0,0,
5,independent_mondrian,3,0.8924777770976069,2.0373666475869485,4.015896764731385,0.0023252753863642226,,,0,0,
5,independent_mondrian,4,0.8990578485497193,1.9911510549145668,4.74666719532473,0.002484311361636757,,,0,0,
5,linear_structured_final_mondrian,0,1.0,1.0007685335340484,1.0007685335340484,,0.004370134043609072,,1,1,3
5,linear_structured_final_mondrian,1,0.9035949905383136,1.9136317167387462,1.9234482145541871,0.0033717691807523607,0.0017714008236472472,0.05080768276922787,0,0,50
5,linear_structured_final_mondrian,2,0.9054009306206405,1.9625080147023704,2.935085863971393,0.002934719674086497,0.000780187603685421,0.05147760281403747,0,0,50
5,linear_structured_final_mondrian,3,0.8973568713489091,2.0512919208695326,4.026095958353462,0.004253933567494671,0.001396494383723594,0.06298164834350815,0,0,50
5,linear_structured_final_mondrian,4,0.8991109914992507,1.9977387638510204,4.744158252288604,0.004564297498122392,0.003620321163761766,0.0884434773587695,0,0,50
5,ordinal_cluster,0,0.9595613903346301,0.9604207221991126,0.9604207221991126,0.0014049003219544515,,,0,0,
5,ordinal_cluster,1,0.9308252557375984,0.9415386614290745,0.9415386614290745,0.0007925596309385833,,,0,0,
5,ordinal_cluster,2,0.8997590539083773,0.9524356417770913,0.9524356417770913,0.0007229150956988231,,,0,0,
5,ordinal_cluster,3,0.8950423005269186,1.0148409549092494,1.0148409549092494,0.0009129133339453765,,,0,0,
5,ordinal_cluster,4,0.8710890368426248,0.9623193433884585,0.9623193433884585,0.001324173934439422,,,0,0,
10,independent_mondrian,0,0.9015181090031329,0.9019568358524497,0.9019568358524497,0.005953908741768669,,,0,0,
10,independent_mondrian,1,0.899499173896688,0.9096617208161378,0.9096617208161378,0.000900386194131719,,,0,0,
10,independent_mondrian,2,0.9062979956673017,0.960169009507631,0.960169009507631,0.0012897725641453242,,,0,0,
10,independent_mondrian,3,0.9059916743656475,1.0535884938207527,1.0535884938207527,0.002006049877618942,,,0,0,
10,independent_mondrian,4,0.900995467149715,1.002386726816768,1.002386726816768,0.0026502567163767957,,,0,0,
10,linear_structured_final_mondrian,0,1.0,1.0005240525349708,1.0005240525349708,,0.00288299938680896,,1,1,5
10,linear_structured_final_mondrian,1,0.8996795235831013,1.9080139554298945,1.9161295320578324,0.0019150631811378012,0.0012076918880085928,0.04956837133057602,0,0,50
10,linear_structured_final_mondrian,2,0.9007390659171421,1.9608871230403355,2.9373601190214202,0.0023981239127880546,0.0006849893892082241,0.04281618843801218,0,0,50
