rare_count,repetition,method,class_id,test_count,coverage,mean_set_size,mean_ordinal_span,threshold,threshold_is_infinite,preliminary_threshold,correction,correction_is_infinite,final_support
100,0,independent_mondrian,0,479,0.9311064718162839,0.9311064718162839,0.9311064718162839,0.3279595786772648,0,,,0,
100,0,independent_mondrian,1,2377,0.8636937315944467,0.8691628102650399,0.8691628102650399,0.3378835388685469,0,,,0,
100,0,independent_mondrian,2,2403,0.8639200998751561,0.9375780274656679,0.9375780274656679,0.40526299197214355,0,,,0,
100,0,independent_mondrian,3,2310,0.935064935064935,1.0735930735930737,1.0735930735930737,0.5820138645215598,0,,,0,
100,0,independent_mondrian,4,2431,0.9078568490333196,1.025503907856849,1.025503907856849,0.6027279118877275,0,,,0,
100,0,ordinal_cluster,0,479,0.9352818371607515,0.9352818371607515,0.9352818371607515,0.32959391360611945,0,,,0,
100,0,ordinal_cluster,1,2377,0.8931426167437947,0.9023979806478755,0.9023979806478755,0.3586808579338131,0,,,0,
100,0,ordinal_cluster,2,2403,0.8951310861423221,0.9521431543903454,0.9521431543903454,0.4485195678036303,0,,,0,
100,0,ordinal_cluster,3,2310,0.90995670995671,1.0415584415584416,1.0415584415584416,0.5354123462206325,0,,,0,
100,0,ordinal_cluster,4,2431,0.8988070752776635,0.9921842863019333,0.9921842863019333,0.5847242654317362,0,,,0,
100,0,linear_structured_final_mondrian,0,479,0.9352818371607515,0.9352818371607515,0.9352818371607515,0.32959391360611945,0,0.296427976397137,0.03316593720898242,0,50
100,0,linear_structured_final_mondrian,1,2377,0.8754732856541859,0.8801009676062264,0.8801009676062264,0.346687015017874,0,0.361427976397137,-0.014740961379262951,0,50
100,0,linear_structured_final_mondrian,2,2403,0.8218893050353725,0.8980441115272576,0.8980441115272576,0.364945498668396,0,0.4264279763971369,-0.061482477728740936,0,50
100,0,linear_structured_final_mondrian,3,2310,0.935930735930736,1.1363636363636365,1.1363636363636365,0.5859368337581414,0,0.49142797639713687,0.09450885736100456,0,50
100,0,linear_structured_final_mondrian,4,2431,0.9502262443438914,1.06993006993007,1.06993006993007,0.6983447279488334,0,0.5564279763971368,0.14191675155169658,0,50
100,1,independent_mondrian,0,479,0.9123173277661796,0.9123173277661796,0.9123173277661796,0.2967016602121552,0,,,0,
100,1,independent_mondrian,1,2375,0.8930526315789473,0.9170526315789473,0.9170526315789473,0.3629535498241881,0,,,0,
100,1,independent_mondrian,2,2377,0.9570887673538073,0.9928481278923013,0.9928481278923013,0.5283189760547863,0,,,0,
100,1,independent_mondrian,3,2370,0.8932489451476793,1.0350210970464135,1.0350210970464135,0.4998689033860412,0,,,0,
100,1,independent_mondrian,4,2399,0.8766152563568154,0.9578991246352647,0.9578991246352647,0.5604269484138628,0,,,0,
100,1,ordinal_cluster,0,479,0.9206680584551148,0.9206680584551148,0.9206680584551148,0.3077486481524118,0,,,0,
100,1,ordinal_cluster,1,2375,0.9178947368421052,0.9305263157894736,0.9305263157894736,0.39367198894333805,0,,,0,
100,1,ordinal_cluster,2,2377,0.9200673117374842,0.9697097181320993,0.9697097181320993,0.4651364408556836,0,,,0,
100,1,ordinal_cluster,3,2370,0.9109704641350211,1.0147679324894514,1.0147679324894514,0.5238349949865058,0,,,0,
100,1,ordinal_cluster,4,2399,0.8511879949979158,0.9424760316798666,0.9424760316798666,0.5238349949865058,0,,,0,
100,1,linear_structured_final_mondrian,0,479,0.9081419624217119,0.9081419624217119,0.9081419624217119,0.2930318233939376,0,0.34384412477756504,-0.05081230138362747,0,50
100,1,linear_structured_final_mondrian,1,2375,0.8652631578947368,0.8930526315789473,0.8930526315789473,0.33204904617916825,0,0.40134412477756515,-0.0692950785983969,0,50
100,1,linear_structured_final_mondrian,2,2377,0.9638199411022297,0.9886411442995372,0.9886411442995372,0.5471305187003029,0,0.45884412477756525,0.08828639392273768,0,50
100,1,linear_structured_final_mondrian,3,2370,0.8675105485232067,1.0552742616033755,1.0552742616033755,0.4651364408556836,0,0.5163441247775653,-0.051207683921881686,0,50
100,1,linear_structured_final_mondrian,4,2399,0.9220508545227178,0.9899958315964985,0.9899958315964985,0.6378636945812061,0,0.5738441247775654,0.06401956980364065,0,50
100,2,independent_mondrian,0,484,0.9152892561983471,0.9152892561983471,0.9152892561983471,0.29282030637220463,0,,,0,
100,2,independent_mondrian,1,2335,0.9074946466809422,0.9147751605995718,0.9147751605995718,0.3761209269035077,0,,,0,
100,2,independent_mondrian,2,2360,0.9127118644067796,0.9559322033898305,0.9559322033898305,0.4546411224161909,0,,,0,
