scenario,rare_count,repetition,method,class_id,test_count,coverage,mean_set_size,mean_ordinal_span,full_set_rate,mean_preliminary_threshold,preliminary_threshold_variance,mean_correction,final_threshold_variance,correction_is_infinite,calibration_support
D_no_useful_ordinal_structure,100,0,independent_mondrian,0,242,0.8016528925619835,1.2644628099173554,1.2644628099173554,0,0.0,0.0,0.605605732407195,0.0,0,100
D_no_useful_ordinal_structure,100,0,independent_mondrian,1,1228,0.8786644951140065,2.22557003257329,2.22557003257329,0,0.0,0.0,0.4048936289055847,0.0,0,100
D_no_useful_ordinal_structure,100,0,independent_mondrian,4,1202,0.9068219633943427,1.5707154742096505,1.5707154742096505,0,0.0,0.0,0.7016260706701851,0.0,0,100
D_no_useful_ordinal_structure,100,0,independent_mondrian,3,1168,0.9392123287671232,2.4006849315068495,2.4006849315068495,0,0.0,0.0,0.5919884956579166,0.0,0,100
D_no_useful_ordinal_structure,100,0,independent_mondrian,2,1160,0.9043103448275862,1.9741379310344827,1.9741379310344827,0,0.0,0.0,0.8303227750071892,0.0,0,100
D_no_useful_ordinal_structure,100,0,ordinal_cluster,0,242,0.7520661157024794,1.3677685950413223,1.3677685950413223,0,0.0,0.0,0.5270048065804608,0.0,0,100
D_no_useful_ordinal_structure,100,0,ordinal_cluster,1,1228,0.9657980456026058,1.8868078175895766,1.8868078175895766,0,0.0,0.0,0.6072873232933647,0.0,0,100
D_no_useful_ordinal_structure,100,0,ordinal_cluster,4,1202,0.8860232945091514,1.5773710482529117,1.5773710482529117,0,0.0,0.0,0.6536703554328761,0.0,0,100
D_no_useful_ordinal_structure,100,0,ordinal_cluster,3,1168,0.9700342465753424,2.077054794520548,2.077054794520548,0,0.0,0.0,0.7016260706701851,0.0,0,100
D_no_useful_ordinal_structure,100,0,ordinal_cluster,2,1160,0.7913793103448276,2.075862068965517,2.075862068965517,0,0.0,0.0,0.6035833465526214,0.0,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_nonordinal,0,242,0.8512396694214877,1.3636363636363635,1.3636363636363635,0,0.7588176456562911,0.029070981922061322,-0.09857146969314046,0.029070981922061322,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_nonordinal,1,1228,0.9087947882736156,2.3249185667752443,2.3249185667752443,0,0.41526314943531245,0.017319364154185175,-0.002455285058091672,0.017319364154185175,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_nonordinal,4,1202,0.9018302828618968,1.5083194675540765,1.5083194675540765,0,0.6639477090792232,0.02121528000171638,0.00985061951612165,0.02121528000171638,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_nonordinal,3,1168,0.9220890410958904,2.3261986301369864,2.3261986301369864,0,0.46469003978360224,0.01864962156772266,0.03528314655839254,0.01864962156772266,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_nonordinal,2,1160,0.9344827586206896,1.9629310344827586,1.9629310344827586,0,0.7932735048671565,0.0188328950054546,0.11514925741167858,0.0188328950054546,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_ordinal,0,242,0.8388429752066116,1.3512396694214877,1.3512396694214877,0,0.5309435398860263,0.016410309246557384,0.09562782209528192,0.016410309246557384,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_ordinal,1,1228,0.9079804560260586,2.278501628664495,2.278501628664495,0,0.5618166709983062,0.017546087042900355,-0.14871758399261323,0.017546087042900345,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_ordinal,4,1202,0.9018302828618968,1.5058236272878536,1.5058236272878536,0,0.6263826081120751,0.020544410279911225,0.04689823806190929,0.020544410279911225,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_ordinal,3,1168,0.9220890410958904,2.3253424657534247,2.3253424657534247,0,0.6040630553639466,0.018958934856151084,-0.10387706412311093,0.018958934856151084,0,100
D_no_useful_ordinal_structure,100,0,input_dependent_ordinal,2,1160,0.9344827586206896,1.938793103448276,1.938793103448276,0,0.5880582020250145,0.01818965357804706,0.3190192121744746,0.01818965357804706,0,100
D_no_useful_ordinal_structure,100,1,independent_mondrian,1,1204,0.9426910299003323,2.336378737541528,2.336378737541528,0,0.0,0.0,0.5463806037589601,0.0,0,100
