scenario,n_cal,repetition,method,eta,class_id,radius,cost,global_cost,oracle_cost,ding_cluster_cost,own_support,pooled_support,threshold,finite,guarantee_floor,actual_coverage
strong_smoothness,200,0,independent_mondrian,,0,0,0.0,0.0,0.0,0.0,55,55,0.6573145946819166,1,0.9,0.7842340572294153
strong_smoothness,200,0,independent_mondrian,,1,0,0.0,0.0,0.0,0.0,55,55,0.7263776027440312,1,0.9,0.8658288256038235
strong_smoothness,200,0,independent_mondrian,,2,0,0.0,0.0,0.0,0.0,42,42,0.7486041175081257,1,0.9,0.8835693448635173
strong_smoothness,200,0,independent_mondrian,,3,0,0.0,0.0,0.0,0.0,42,42,0.7963366068554723,1,0.9,0.9202393006310539
strong_smoothness,200,0,independent_mondrian,,4,0,0.0,0.0,0.0,0.0,6,6,,0,0.9,1.0
strong_smoothness,200,0,v0_1_global_L,0.0,0,0,0.0,0.0,0.0,0.0,55,55,0.6573145946819166,1,0.9,0.7842340572294153
strong_smoothness,200,0,v0_1_global_L,0.0,1,0,0.0,0.0,0.0,0.0,55,55,0.7263776027440312,1,0.9,0.8658288256038235
strong_smoothness,200,0,v0_1_global_L,0.0,2,0,0.0,0.0,0.0,0.0,42,42,0.7486041175081257,1,0.9,0.8835693448635173
strong_smoothness,200,0,v0_1_global_L,0.0,3,0,0.0,0.0,0.0,0.0,42,42,0.7963366068554723,1,0.9,0.9202393006310539
strong_smoothness,200,0,v0_1_global_L,0.0,4,0,0.0,0.0,0.0,0.0,6,6,,0,0.9,1.0
strong_smoothness,200,0,v0_2_local_path,0.0,0,4,0.0,0.014062349176187093,0.0,0.03987761167674496,55,200,0.7201672718460961,1,0.9,0.8645160579244373
strong_smoothness,200,0,v0_2_local_path,0.0,1,0,0.0,0.0,0.0,0.0,55,55,0.7263776027440312,1,0.9,0.8658288256038235
strong_smoothness,200,0,v0_2_local_path,0.0,2,0,0.0,0.0,0.0,0.0,42,42,0.7486041175081257,1,0.9,0.8835693448635173
strong_smoothness,200,0,v0_2_local_path,0.0,3,0,0.0,0.0,0.0,0.0,42,42,0.7963366068554723,1,0.9,0.9202393006310539
strong_smoothness,200,0,v0_2_local_path,0.0,4,0,0.0,0.0,0.0,0.0,6,6,,0,0.9,1.0
strong_smoothness,200,0,v0_1_global_L,0.005,0,1,0.004533316949125432,0.004533316949125432,0.0,0.009973297288075951,55,110,0.6804632373019709,1,0.8954666830508746,0.816555535252675
strong_smoothness,200,0,v0_1_global_L,0.005,1,0,0.0,0.0,0.0,0.0,55,55,0.7263776027440312,1,0.9,0.8658288256038235
strong_smoothness,200,0,v0_1_global_L,0.005,2,0,0.0,0.0,0.0,0.0,42,42,0.7486041175081257,1,0.9,0.8835693448635173
strong_smoothness,200,0,v0_1_global_L,0.005,3,0,0.0,0.0,0.0,0.0,42,42,0.7963366068554723,1,0.9,0.9202393006310539
strong_smoothness,200,0,v0_1_global_L,0.005,4,0,0.0,0.0,0.0,0.0,6,6,,0,0.9,1.0
strong_smoothness,200,0,v0_2_local_path,0.005,0,4,0.0,0.014062349176187093,0.0,0.03987761167674496,55,200,0.7201672718460961,1,0.9,0.8645160579244373
strong_smoothness,200,0,v0_2_local_path,0.005,1,3,0.002991989186422785,0.010073030260956711,0.0,0.029913659851819575,55,200,0.7201672718460961,1,0.8970080108135773,0.8589997759402883
