scenario,class_id,radius,global_L,path_cost,global_cost,oracle_cost,ding_cluster_cost,path_over_oracle,global_over_oracle
strong_smoothness,0,0,0.009973297288075951,0.0,0.0,0.0,0.0,,
strong_smoothness,0,1,0.009973297288075951,0.0,0.004533316949125432,0.0,0.009973297288075951,,
strong_smoothness,0,2,0.009973297288075951,0.0,0.00893711055684728,0.0,0.019945036390476102,,
strong_smoothness,0,3,0.009973297288075951,0.0,0.013263457218162864,0.0,0.029913659851819575,,
strong_smoothness,0,4,0.009973297288075951,0.0,0.014062349176187093,0.0,0.03987761167674496,,
strong_smoothness,1,0,0.009973297288075951,0.0,0.0,0.0,0.0,,
strong_smoothness,1,1,0.009973297288075951,0.003885700242107513,0.006735213752986357,0.0010395092999699873,0.009973297288075951,3.738013928513868,6.479224142757372
strong_smoothness,1,2,0.009973297288075951,0.00308452493445648,0.009459209798999871,1.1102230246251565e-16,0.019945036390476102,27782930690866.414,85200987451990.33
strong_smoothness,1,3,0.009973297288075951,0.002991989186422785,0.010073030260956711,0.0,0.029913659851819575,,
strong_smoothness,2,0,0.009973297288075951,0.0,0.0,0.0,0.0,,
strong_smoothness,2,1,0.009973297288075951,0.003721379585102967,0.006698483253185341,0.0007488839385014212,0.009973297288075951,4.9692340745747,8.944621334234462
strong_smoothness,2,2,0.009973297288075951,0.008477302694864557,0.011070359989764307,0.005886236864802108,0.019945036390476102,1.440190547810984,1.8807194212590503
strong_smoothness,3,0,0.009973297288075951,0.0,0.0,0.0,0.0,,
strong_smoothness,3,1,0.009973297288075951,0.004875834229726019,0.005540720715597749,0.004211188066927718,0.009973297288075951,1.1578286583821928,1.315714384525219
strong_smoothness,3,2,0.009973297288075951,0.010258248639163836,0.010685675665795664,0.0098303479409253,0.019945036390476102,1.0435285404758785,1.0870088963290403
strong_smoothness,3,3,0.009973297288075951,0.01615674160668304,0.016455940525325317,0.01585491065390876,0.029913659851819575,1.0190370642486004,1.0379081209939447
strong_smoothness,4,0,0.009973297288075951,0.0,0.0,0.0,0.0,,
strong_smoothness,4,1,0.009973297288075951,0.00867243242441387,0.00867243242441387,0.008672431937807368,0.009973297288075951,1.0000000561095785,1.0000000561095785
strong_smoothness,4,2,0.009973297288075951,0.014184245031930238,0.01418424503193024,0.01418324516957431,0.019945036390476102,1.0000704960214657,1.000070496021466
strong_smoothness,4,3,0.009973297288075951,0.019804118900607962,0.019804118900607962,0.01980058850864047,0.029913659851819575,1.0001782973251503,1.0001782973251503
strong_smoothness,4,4,0.009973297288075951,0.025830839976116713,0.025830839976116717,0.025822403772904734,0.03987761167674496,1.0003267009255286,1.0003267009255286
moderate_smoothness,0,0,0.06972591456743077,0.0,0.0,0.0,0.0,,
moderate_smoothness,0,1,0.06972591456743077,0.0,0.03169359753065035,0.0,0.06972591456743077,,
moderate_smoothness,0,2,0.06972591456743077,0.0,0.06248166370328211,0.0,0.13892036641534725,,
moderate_smoothness,0,3,0.06972591456743077,0.0,0.09272827813606774,0.0,0.20706401464198906,,
