scenario,n_cal,method,eta,class_id,repetitions,mean_own_support,mean_pooled_support,mean_radius,mean_cost,mean_global_cost,mean_oracle_cost,mean_ding_cluster_cost,guarantee_floor,mean_actual_coverage,finite_rate
local_discontinuity,200,independent_mondrian,,0,100,59.94,59.94,0.0,0.0,0.0,0.0,0.0,0.9,0.9008345800362214,1
local_discontinuity,200,independent_mondrian,,1,100,50.26,50.26,0.0,0.0,0.0,0.0,0.0,0.9,0.9113317132870581,1
local_discontinuity,200,independent_mondrian,,2,100,44.26,44.26,0.0,0.0,0.0,0.0,0.0,0.9,0.908539224180112,1
local_discontinuity,200,independent_mondrian,,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,independent_mondrian,,4,100,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.9,0.983247023663106,0.17
local_discontinuity,200,v0_1_global_L,0.0,0,100,59.94,59.94,0.0,0.0,0.0,0.0,0.0,0.9,0.9008345800362214,1
local_discontinuity,200,v0_1_global_L,0.0,1,100,50.26,50.26,0.0,0.0,0.0,0.0,0.0,0.9,0.9113317132870581,1
local_discontinuity,200,v0_1_global_L,0.0,2,100,44.26,44.26,0.0,0.0,0.0,0.0,0.0,0.9,0.908539224180112,1
local_discontinuity,200,v0_1_global_L,0.0,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,v0_1_global_L,0.0,4,100,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.9,0.983247023663106,0.17
local_discontinuity,200,v0_1_global_L,0.005,0,100,59.94,59.94,0.0,0.0,0.0,0.0,0.0,0.9,0.9008345800362214,1
local_discontinuity,200,v0_1_global_L,0.005,1,100,50.26,50.26,0.0,0.0,0.0,0.0,0.0,0.9,0.9113317132870581,1
local_discontinuity,200,v0_1_global_L,0.005,2,100,44.26,44.26,0.0,0.0,0.0,0.0,0.0,0.9,0.908539224180112,1
local_discontinuity,200,v0_1_global_L,0.005,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,v0_1_global_L,0.005,4,100,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.9,0.983247023663106,0.17
local_discontinuity,200,v0_1_global_L,0.01,0,100,59.94,59.94,0.0,0.0,0.0,0.0,0.0,0.9,0.9008345800362214,1
local_discontinuity,200,v0_1_global_L,0.01,1,100,50.26,50.26,0.0,0.0,0.0,0.0,0.0,0.9,0.9113317132870581,1
local_discontinuity,200,v0_1_global_L,0.01,2,100,44.26,44.26,0.0,0.0,0.0,0.0,0.0,0.9,0.908539224180112,1
local_discontinuity,200,v0_1_global_L,0.01,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,v0_1_global_L,0.01,4,100,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.9,0.983247023663106,0.17
local_discontinuity,200,v0_1_global_L,0.02,0,100,59.94,59.94,0.0,0.0,0.0,0.0,0.0,0.9,0.9008345800362214,1
local_discontinuity,200,v0_1_global_L,0.02,1,100,50.26,50.26,0.0,0.0,0.0,0.0,0.0,0.9,0.9113317132870581,1
local_discontinuity,200,v0_1_global_L,0.02,2,100,44.26,44.26,0.0,0.0,0.0,0.0,0.0,0.9,0.908539224180112,1
local_discontinuity,200,v0_1_global_L,0.02,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,v0_1_global_L,0.02,4,100,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.9,0.983247023663106,0.17
local_discontinuity,200,v0_1_global_L,0.05,0,100,59.94,59.94,0.0,0.0,0.0,0.0,0.0,0.9,0.9008345800362214,1
local_discontinuity,200,v0_1_global_L,0.05,1,100,50.26,50.26,0.0,0.0,0.0,0.0,0.0,0.9,0.9113317132870581,1
local_discontinuity,200,v0_1_global_L,0.05,2,100,44.26,44.26,0.0,0.0,0.0,0.0,0.0,0.9,0.908539224180112,1
local_discontinuity,200,v0_1_global_L,0.05,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,v0_1_global_L,0.05,4,100,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.9,0.983247023663106,0.17
local_discontinuity,200,v0_2_local_path,0.0,0,100,59.94,200.0,4.0,0.0,0.7494826371002004,0.0,0.5542383568540251,0.9,0.9702827173737826,1
local_discontinuity,200,v0_2_local_path,0.0,1,100,50.26,50.26,0.0,0.0,0.0,0.0,0.0,0.9,0.9113317132870581,1
local_discontinuity,200,v0_2_local_path,0.0,2,100,44.26,44.26,0.0,0.0,0.0,0.0,0.0,0.9,0.908539224180112,1
local_discontinuity,200,v0_2_local_path,0.0,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,v0_2_local_path,0.0,4,100,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.9,0.983247023663106,0.17
local_discontinuity,200,v0_2_local_path,0.005,0,100,59.94,200.0,4.0,0.0,0.7494826371002004,0.0,0.5542383568540251,0.9,0.9702827173737826,1
local_discontinuity,200,v0_2_local_path,0.005,1,100,50.26,200.0,3.0,0.002991989186422785,0.5368634492703562,0.0,0.5467452952462636,0.8970080108135773,0.9685759400820672,1
local_discontinuity,200,v0_2_local_path,0.005,2,100,44.26,133.92,1.0,0.003721379585102967,0.35700983031130534,0.0,0.5315479695746101,0.896278620414897,0.9767233551510328,1
local_discontinuity,200,v0_2_local_path,0.005,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,v0_2_local_path,0.005,4,100,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.9,0.983247023663106,0.17
local_discontinuity,200,v0_2_local_path,0.01,0,100,59.94,200.0,4.0,0.0,0.7494826371002004,0.0,0.5542383568540251,0.9,0.9702827173737826,1
local_discontinuity,200,v0_2_local_path,0.01,1,100,50.26,200.0,3.0,0.002991989186422785,0.5368634492703562,0.0,0.5467452952462636,0.8970080108135773,0.9685759400820672,1
local_discontinuity,200,v0_2_local_path,0.01,2,100,44.26,200.0,2.0,0.008477302694864557,0.5900182462278173,0.0,0.5391816567928531,0.8915226973051354,0.9667889273901191,1
local_discontinuity,200,v0_2_local_path,0.01,3,100,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.9,0.9110064268526811,1
local_discontinuity,200,v0_2_local_path,0.01,4,100,6.14,45.54,1.0,0.00867243242441387,0.46221562571705227,0.008672432403167452,0.009973297288075951,0.8913275675755862,0.9042264291778516,1
