rare_count,repetition,method,class_id,test_count,coverage,mean_set_size,mean_ordinal_span,mean_preliminary_threshold,preliminary_threshold_variance,mean_correction,correction_is_infinite,calibration_support
100,0,independent_mondrian,4,2414,0.9138359569179785,1.5658657829328915,1.5658657829328915,0.0,0.0,0.800598102838451,0,100
100,0,independent_mondrian,3,2455,0.8822810590631365,2.1478615071283094,2.1478615071283094,0.0,0.0,0.6599302235078836,0,100
100,0,independent_mondrian,2,2361,0.8962304108428631,2.101228293096146,2.101228293096146,0.0,0.0,0.6132870744505277,0,100
100,0,independent_mondrian,1,2309,0.895192724122997,1.7856214811606756,1.7856214811606756,0.0,0.0,0.5831722949328804,0,100
100,0,independent_mondrian,0,461,0.8655097613882863,1.3882863340563991,1.3882863340563991,0.0,0.0,0.45717258694951274,0,100
100,0,input_dependent_structured_mondrian,4,2414,0.9275062137531068,1.4983429991714996,1.4983429991714996,0.7551259065458636,0.05356463688532929,0.04017550316962204,0,100
100,0,input_dependent_structured_mondrian,3,2455,0.8562118126272913,1.9686354378818738,1.9686354378818738,0.6783544028587558,0.04930069629237348,-0.07015645442911622,0,100
100,0,input_dependent_structured_mondrian,2,2361,0.8602287166454892,1.8979246082168573,1.8979246082168573,0.6057381837806969,0.04381849798907236,-0.05301958146264141,0,100
100,0,input_dependent_structured_mondrian,1,2309,0.8722390645300996,1.6730186227804245,1.6730186227804245,0.5359295956799919,0.039303671678335664,-0.018800009841791976,0,100
100,0,input_dependent_structured_mondrian,0,461,0.8633405639913232,1.3405639913232104,1.3405639913232104,0.48013935345530456,0.03337556813374574,-0.045846898044056505,0,100
100,1,independent_mondrian,4,2398,0.8669724770642202,1.7322768974145122,1.7322768974145122,0.0,0.0,0.7067928514625537,0,100
100,1,independent_mondrian,2,2374,0.9191238416175231,2.3188711036225778,2.3188711036225778,0.0,0.0,0.7002449402434919,0,100
100,1,independent_mondrian,0,549,0.9253187613843351,1.4808743169398908,1.4808743169398908,0.0,0.0,0.557472048693666,0,100
100,1,independent_mondrian,3,2380,0.9525210084033613,2.242436974789916,2.242436974789916,0.0,0.0,0.8664554787874645,0,100
100,1,independent_mondrian,1,2299,0.9103958242714224,2.141800782949108,2.141800782949108,0.0,0.0,0.5887400664235715,0,100
