rare_count,method,class_id,mean_coverage,mean_set_size,mean_ordinal_span,mean_preliminary_threshold,mean_preliminary_threshold_variance,mean_correction,correction_infinite_rate,calibration_support
5,independent_mondrian,0,1.0,1.521305297141739,1.521942706826571,0.0,0.0,inf,1,5
5,independent_mondrian,1,0.9036130232936002,2.557688379795568,2.6077637368720707,0.0,0.0,0.5887369756686016,0,100
5,independent_mondrian,2,0.9019061636732937,3.15325472773964,3.7201176229901565,0.0,0.0,0.6517797724182474,0,100
5,independent_mondrian,3,0.8987459801795168,3.2026952948030036,4.613065308057688,0.0,0.0,0.7218907791006193,0,100
5,independent_mondrian,4,0.8956942365740137,2.625839480941761,4.733236969681042,0.0,0.0,0.7845750534135548,0,100
5,input_dependent_structured_mondrian,0,1.0,1.459848696669603,1.4600550336039289,0.46064662742986145,0.03258975450036225,inf,1,5
5,input_dependent_structured_mondrian,1,0.9026898133357781,2.493351031103072,2.5392294585717314,0.5334487017224954,0.035628286664553234,0.010767726149160007,0,100
5,input_dependent_structured_mondrian,2,0.9046668707947807,2.99231160174771,3.6423926749841513,0.6063906897274371,0.039329008397000514,0.010559031737235387,0,100
5,input_dependent_structured_mondrian,3,0.9035309755853915,3.0441897834295175,4.526778180862385,0.6797883915886703,0.04292035214555221,0.02000767733205589,0,100
5,input_dependent_structured_mondrian,4,0.8964705426729872,2.577907146633106,4.738817303610554,0.7526472135563704,0.046954355452674255,-0.00025499108668585623,0,100
10,independent_mondrian,0,0.8929867682342396,1.4185662564510175,1.4185662564510175,0.0,0.0,0.5693310735216834,0,10
10,independent_mondrian,1,0.902555827939452,2.057948377648534,2.057948377648534,0.0,0.0,0.5855241423686068,0,100
10,independent_mondrian,2,0.9111365794289797,2.2380497893278135,2.2380497893278135,0.0,0.0,0.6771241546958741,0,100
10,independent_mondrian,3,0.9055846381984528,2.2427464457917456,2.2427464457917456,0.0,0.0,0.7367876759721527,0,100
10,independent_mondrian,4,0.8966148049112463,1.6550297310167312,1.6550297310167312,0.0,0.0,0.7859593963552373,0,100
10,input_dependent_structured_mondrian,0,0.8862018862382267,1.3527365951152837,1.3527365951152837,0.4642450360343653,0.033367342634743585,0.030578542801088886,0,10
10,input_dependent_structured_mondrian,1,0.9051518479348631,1.8558546878058333,1.8558546878058333,0.5338857657839076,0.03610312655904718,0.013445368470321288,0,100
10,input_dependent_structured_mondrian,2,0.9090804282168826,2.064959731215177,2.064959731215177,0.6054796921923946,0.03935375206220383,0.022759749211487372,0,100
10,input_dependent_structured_mondrian,3,0.9072117065930388,2.066276821455046,2.066276821455046,0.6778128536085933,0.04277649038693807,0.019705192488694283,0,100
10,input_dependent_structured_mondrian,4,0.8968157014351852,1.5889275368294005,1.5889275368294005,0.751253863394118,0.04611764613264309,-0.000568584301752788,0,100
20,independent_mondrian,0,0.9008692765124854,1.440920902064683,1.440920902064683,0.0,0.0,0.5469360536910784,0,20
20,independent_mondrian,1,0.9093281146111887,1.9841657984512233,1.9841657984512233,0.0,0.0,0.6006836497395862,0,100
20,independent_mondrian,2,0.9014137039488661,2.2099920063149443,2.2099920063149443,0.0,0.0,0.6473262186874215,0,100
20,independent_mondrian,3,0.896143359077949,2.2052340726581727,2.2052340726581727,0.0,0.0,0.7124106972735893,0,100
20,independent_mondrian,4,0.8947226332731052,1.6156736974658241,1.6156736974658241,0.0,0.0,0.7799467772335479,0,100
20,input_dependent_structured_mondrian,0,0.9040816459096913,1.3630698851522753,1.3630698851522753,0.4581579713152126,0.03241158757120627,0.037903196207626305,0,20
20,input_dependent_structured_mondrian,1,0.9065191118144337,1.8329787929720893,1.8329787929720893,0.5311886907746741,0.03531931266166265,0.01958045442206249,0,100
20,input_dependent_structured_mondrian,2,0.9018599159961193,2.039331503904676,2.039331503904676,0.6038736724452699,0.038378713616321974,0.01033140017734853,0,100
20,input_dependent_structured_mondrian,3,0.8943257248914576,2.04345024402521,2.04345024402521,0.6774210338335691,0.04186119750759883,-0.00313004738987792,0,100
20,input_dependent_structured_mondrian,4,0.898644766682947,1.560112565979426,1.560112565979426,0.7514596412085779,0.04586331459418065,0.001979961214499145,0,100
50,independent_mondrian,0,0.8996003402273,1.4206496542881433,1.4206496542881433,0.0,0.0,0.5179948918649153,0,50
50,independent_mondrian,1,0.9041677936321941,1.926942124332702,1.926942124332702,0.0,0.0,0.5909768566150673,0,100
50,independent_mondrian,2,0.8947742998610491,2.191420609735814,2.191420609735814,0.0,0.0,0.6360158376509714,0,100
50,independent_mondrian,3,0.8978103259483624,2.1931665007243115,2.1931665007243115,0.0,0.0,0.7182322491072448,0,100
50,independent_mondrian,4,0.8994209600536915,1.61620095014934,1.61620095014934,0.0,0.0,0.788348752556832,0,100
50,input_dependent_structured_mondrian,0,0.9011578863160085,1.3558686761651157,1.3558686761651157,0.46010471280653553,0.032402323370855454,0.013471834900683764,0,50
50,input_dependent_structured_mondrian,1,0.9036864061657106,1.7981040209336914,1.7981040209336914,0.5319574969272953,0.035384710761003926,0.013606464526180265,0,100
50,input_dependent_structured_mondrian,2,0.8934937760613371,2.0355749969586485,2.0355749969586485,0.60375509030059,0.03861647157462984,-0.0025285947942288063,0,100
50,input_dependent_structured_mondrian,3,0.9054831363523445,2.036812966360284,2.036812966360284,0.6768629012727553,0.04219032371080506,0.01529879792049791,0,100
50,input_dependent_structured_mondrian,4,0.8946590994387804,1.5603580995852613,1.5603580995852613,0.7483628395645638,0.04596703153651822,0.0012975971348346549,0,100
100,independent_mondrian,0,0.9020775530689382,1.4358440607629441,1.4358440607629441,0.0,0.0,0.5161889479623356,0,100
100,independent_mondrian,1,0.9063793879874045,1.9506630769275424,1.9506630769275424,0.0,0.0,0.5926815104515364,0,100
100,independent_mondrian,2,0.9004666774133234,2.2183678990463243,2.2183678990463243,0.0,0.0,0.6518155053650674,0,100
100,independent_mondrian,3,0.9039473988439068,2.2343068622227134,2.2343068622227134,0.0,0.0,0.7292726091803944,0,100
100,independent_mondrian,4,0.9059514513865403,1.643377383154868,1.643377383154868,0.0,0.0,0.8070834996560553,0,100
100,input_dependent_structured_mondrian,0,0.9003089693351894,1.3526909086674122,1.3526909086674122,0.455641908378496,0.03266993705348542,0.010910181475293464,0,100
100,input_dependent_structured_mondrian,1,0.9003534900525605,1.805814732704155,1.805814732704155,0.5315989133938053,0.03583377852935668,0.006987935826289248,0,100
100,input_dependent_structured_mondrian,2,0.9027692592497295,2.0361309510992416,2.0361309510992416,0.6053221973911337,0.039147067337141,0.011768968083200574,0,100
100,input_dependent_structured_mondrian,3,0.8987225921393474,2.0587438316848963,2.0587438316848963,0.6783412667506391,0.042739853184003876,0.004324856682866038,0,100
100,input_dependent_structured_mondrian,4,0.9061023821595281,1.5732270781121322,1.5732270781121322,0.7526435574294686,0.046675809990537095,0.015129958129112686,0,100
