scenario,n_cal,support_bin,method,repetitions,finite_threshold_rate,class4_coverage,mean_selected_radius,mean_certified_epsilon,mean_pooled_support
strong_smoothness,200,n4_le_5,independent_mondrian,43,0,1.0,1.4651162790697674,0.08463145764806411,3.7906976744186047
strong_smoothness,200,n4_le_5,fixed_ordinal_pooling_h1,43,1,0.905627599904613,1.4651162790697674,0.08463145764806411,43.16279069767442
strong_smoothness,200,n4_le_5,adaptive_approximate,43,1,0.9030007447422346,1.4651162790697674,0.08463145764806411,63.651162790697676
strong_smoothness,200,n4_le_5,adaptive_certified_v0_3,43,0.41860465116279066,0.9914565844413086,1.4651162790697674,0.08463145764806411,63.651162790697676
strong_smoothness,200,n4_6_10,independent_mondrian,54,0.12962962962962965,0.9823858525213027,1.5185185185185186,0.07953855109018926,7.277777777777778
strong_smoothness,200,n4_6_10,fixed_ordinal_pooling_h1,54,1,0.9113541055083745,1.5185185185185186,0.07953855109018926,46.77777777777778
strong_smoothness,200,n4_6_10,adaptive_approximate,54,0.962962962962963,0.9044662180503024,1.5185185185185186,0.07953855109018926,69.37037037037037
strong_smoothness,200,n4_6_10,adaptive_certified_v0_3,54,0.5740740740740741,0.9877516217501768,1.5185185185185186,0.07953855109018926,69.37037037037037
strong_smoothness,200,n4_11_20,independent_mondrian,3,1,0.9371002861743439,1.6666666666666667,0.08208315202947138,11.666666666666666
strong_smoothness,200,n4_11_20,fixed_ordinal_pooling_h1,3,1,0.9039261129225452,1.6666666666666667,0.08208315202947138,51.333333333333336
strong_smoothness,200,n4_11_20,adaptive_approximate,3,1,0.9057932189082674,1.6666666666666667,0.08208315202947138,77.33333333333333
strong_smoothness,200,n4_11_20,adaptive_certified_v0_3,3,0.6666666666666667,0.9850486322471356,1.6666666666666667,0.08208315202947138,77.33333333333333
strong_smoothness,400,n4_le_5,independent_mondrian,3,0,1.0,0,0.0,4.666666666666667
strong_smoothness,400,n4_le_5,fixed_ordinal_pooling_h1,3,1,0.8898425885498071,0,0.0,88
strong_smoothness,400,n4_le_5,adaptive_approximate,3,0,1.0,0,0.0,4.666666666666667
strong_smoothness,400,n4_le_5,adaptive_certified_v0_3,3,0,1.0,0,0.0,4.666666666666667
strong_smoothness,400,n4_6_10,independent_mondrian,21,0.33333333333333337,0.9800058684678584,0,0.0,8.19047619047619
strong_smoothness,400,n4_6_10,fixed_ordinal_pooling_h1,21,1,0.8997310630205536,0,0.0,91.04761904761905
strong_smoothness,400,n4_6_10,adaptive_approximate,21,0.33333333333333337,0.9800058684678584,0,0.0,8.19047619047619
strong_smoothness,400,n4_6_10,adaptive_certified_v0_3,21,0.33333333333333337,0.9800058684678584,0,0.0,8.19047619047619
strong_smoothness,400,n4_11_20,independent_mondrian,74,1,0.9207279089414092,0.02702702702702703,0.0009891167999218169,14.027027027027026
strong_smoothness,400,n4_11_20,fixed_ordinal_pooling_h1,74,1,0.8972754486942623,0.02702702702702703,0.0009891167999218169,94.62162162162163
strong_smoothness,400,n4_11_20,adaptive_approximate,74,1,0.9198458974067092,0.02702702702702703,0.0009891167999218169,16.33783783783784
strong_smoothness,400,n4_11_20,adaptive_certified_v0_3,74,1,0.9207233389334574,0.02702702702702703,0.0009891167999218169,16.33783783783784
strong_smoothness,400,n4_21_50,independent_mondrian,2,1,0.9489119353578707,0,0.0,22.5
strong_smoothness,400,n4_21_50,fixed_ordinal_pooling_h1,2,1,0.91885375824087,0,0.0,101
strong_smoothness,400,n4_21_50,adaptive_approximate,2,1,0.9489119353578707,0,0.0,22.5
strong_smoothness,400,n4_21_50,adaptive_certified_v0_3,2,1,0.9489119353578707,0,0.0,22.5
strong_smoothness,800,n4_11_20,independent_mondrian,23,1,0.9109508743349926,0,0.0,17.82608695652174
strong_smoothness,800,n4_11_20,fixed_ordinal_pooling_h1,23,1,0.8906220053165452,0,0.0,179.34782608695653
strong_smoothness,800,n4_11_20,adaptive_approximate,23,1,0.9109508743349926,0,0.0,17.82608695652174
strong_smoothness,800,n4_11_20,adaptive_certified_v0_3,23,1,0.9109508743349926,0,0.0,17.82608695652174
strong_smoothness,800,n4_21_50,independent_mondrian,77,1,0.9203397433281444,0,0.0,25.558441558441558
strong_smoothness,800,n4_21_50,fixed_ordinal_pooling_h1,77,1,0.8994150182319539,0,0.0,188.2077922077922
strong_smoothness,800,n4_21_50,adaptive_approximate,77,1,0.9203397433281444,0,0.0,25.558441558441558
strong_smoothness,800,n4_21_50,adaptive_certified_v0_3,77,1,0.9203397433281444,0,0.0,25.558441558441558
