scenario,rare_count,method,marginal_coverage,marginal_coverage_sd,worst_class_coverage,rare_class_coverage,mean_set_size,mean_set_size_sd,mean_ordinal_span,rare_infinite_rate,relative_size_vs_mondrian_pct,ordinal_vs_nonordinal_size_delta
A_well_specified,100,independent_mondrian,0.904532,0.011947726813080387,0.8666352330727545,0.9042924927753094,1.980892,0.07988707239597656,1.980892,0,0.0,0.13672800000000018
A_well_specified,100,ordinal_cluster,0.901572,0.012626955927696908,0.8806096294697036,0.9210167035733423,1.96448,0.08319005709818934,1.96448,0,-0.8285156384093677,0.12031600000000009
A_well_specified,100,input_dependent_nonordinal,0.901824,0.011993107353809518,0.8666525985377473,0.9035120896834125,1.844164,0.05603654079259353,1.844164,0,-6.902345004169847,0.0
A_well_specified,100,input_dependent_ordinal,0.902092,0.011463277716255497,0.8670842253674924,0.9058560753082375,1.844048,0.05632195394337806,1.844048,0,-6.908200951894408,-0.00011600000000000499
A_well_specified,50,independent_mondrian,0.899016,0.01447148036656928,0.8553836409612761,0.9048884673365483,1.952848,0.08965959232564023,1.952848,0,0.0,0.11775999999999986
A_well_specified,50,ordinal_cluster,0.899236,0.01372062330945646,0.8744838115064277,0.9263032474728065,1.952708,0.09090739208667248,1.952708,0,-0.007169016738620054,0.11762000000000006
A_well_specified,50,input_dependent_nonordinal,0.899188,0.014040650127397938,0.8558106771895976,0.9017410398986337,1.835088,0.06187351174775843,1.835088,0,-6.030167222436147,0.0
A_well_specified,50,input_dependent_ordinal,0.90022,0.013874653148817808,0.8573319888409219,0.9033513927358683,1.836788,0.05937742884295344,1.836788,0,-5.943114876324212,0.0017000000000000348
A_well_specified,20,independent_mondrian,0.900324,0.01659917540120592,0.8473215994841882,0.893083728326867,1.97272,0.13149776576048736,1.97272,0,0.0,0.12612
A_well_specified,20,ordinal_cluster,0.900732,0.016111938927391697,0.8752718302509709,0.9317091723459724,1.9738,0.11241503102343563,1.9738,0,0.05474674561012054,0.12719999999999998
A_well_specified,20,input_dependent_nonordinal,0.900888,0.016146982876066977,0.8573399651039717,0.9045088207306047,1.8466,0.07094648123762023,1.8466,0,-6.393203292915366,0.0
A_well_specified,20,input_dependent_ordinal,0.900416,0.016238859073223096,0.8581405115724237,0.9047035287419559,1.843392,0.07177143676979025,1.843392,0,-6.555821403949881,-0.0032080000000000997
A_well_specified,10,independent_mondrian,0.904184,0.01755060523172919,0.8398674311177519,0.8921402045497957,2.017976,0.12999357916451104,2.017976,0,0.0,0.14178000000000002
A_well_specified,10,ordinal_cluster,0.904184,0.01697319486720163,0.8794426194845816,0.9257929881798374,1.988996,0.10871481584402376,1.988996,0,-1.43609240149536,0.11280000000000001
A_well_specified,10,input_dependent_nonordinal,0.905212,0.01616858237446931,0.8454426762611706,0.8894486654310939,1.876196,0.0876368734266576,1.876196,0,-7.025851645411046,0.0
A_well_specified,10,input_dependent_ordinal,0.9053,0.015861765349418078,0.844555722027404,0.8872081445278551,1.87192,0.08343377733268463,1.87192,0,-7.237747128806287,-0.0042759999999999465
A_well_specified,5,independent_mondrian,0.904968,0.015914992177189405,0.8625108347764852,1.0,2.819296,0.09009874796022418,3.800932,1,0.0,0.10434400000000021
A_well_specified,5,ordinal_cluster,0.903528,0.015150274452959595,0.8771357551359884,0.9338967846887996,1.999876,0.09750409131928774,1.999876,0,-29.06470267754787,-0.7150759999999998
A_well_specified,5,input_dependent_nonordinal,0.907792,0.015528191652603985,0.8694632125003288,1.0,2.714952,0.06434760054578566,3.744336,1,-3.7010657979864554,0.0
A_well_specified,5,input_dependent_ordinal,0.907084,0.015965817987187506,0.8687654195230302,1.0,2.711948,0.0655834590121625,3.7426719999999998,1,-3.807617220752982,-0.0030039999999997846
B_nonlinear_misspecified,100,independent_mondrian,0.902984,0.014263174401233404,0.8686658805327517,0.9065786739660903,1.651736,0.07533770838033234,1.651736,0,0.0,0.05855200000000016
B_nonlinear_misspecified,100,ordinal_cluster,0.897848,0.01295373675817136,0.8641729381541168,0.9395991373839664,1.631084,0.07004372451547675,1.631084,0,-1.2503208745223275,0.037900000000000045
B_nonlinear_misspecified,100,input_dependent_nonordinal,0.901756,0.011941744596163493,0.8619558093548934,0.8982422842100353,1.593184,0.050660704140388736,1.593184,0,-3.544876420929262,0.0
