n_str,repetition,probability_floor,m3,m4,interval_lower,empirical_local_directional,local_ucb,dkw_ucb,two_sample_ucb,oracle_local_discrepancy,local_admissible,rank,rank_finite,tilde_q,guard_in_region,guard_feasible,oracle_rank_finite,oracle_guard_in_region,oracle_guard_feasible
500,0,0.7,95,9,0.6337285971906532,0.0,0.5950212484794256,0.9025143274258931,0.8521714935375968,0.00873390906696958,0,,0,,0,0,1,1,1
500,0,0.8,95,9,0.6786189574678547,0.0,0.5950212484794256,0.9025143274258931,0.8521714935375968,0.007053151477321773,0,,0,,0,0,1,1,1
500,0,0.85,95,9,0.7127583360669035,0.0,0.5950212484794256,0.9025143274258931,0.8521714935375968,0.005884589330452106,0,,0,,0,0,1,1,1
500,0,0.9,95,9,0.7689278822606195,0.0,0.5950212484794256,0.9025143274258931,0.8521714935375968,0.004439341130138996,0,,0,,0,0,1,1,1
500,1,0.7,101,8,0.6157263419411171,0.18069306930693074,0.6055682842352567,1.0,1.0,0.00873390906696958,0,,0,,0,0,1,1,1
500,1,0.8,101,8,0.6720629882040476,0.18069306930693074,0.6055682842352567,1.0,1.0,0.007053151477321773,0,,0,,0,0,1,1,1
500,1,0.85,101,8,0.724055105091854,0.18069306930693074,0.6055682842352567,1.0,1.0,0.005884589330452106,0,,0,,0,0,1,1,1
500,1,0.9,101,8,0.7681998824774696,0.18069306930693074,0.6055682842352567,1.0,1.0,0.004439341130138996,0,,0,,0,0,1,1,1
500,2,0.7,113,17,0.5958483568448683,0.22280062467464856,0.5394994582912156,0.7706712908040598,0.7199814232433877,0.00873390906696958,0,,0,,0,0,1,1,1
500,2,0.8,113,17,0.6787932109436176,0.1790733992712129,0.5394994582912156,0.7706712908040598,0.7199814232433877,0.007053151477321773,0,,0,,0,0,1,1,1
500,2,0.85,113,17,0.7186081739843405,0.1790733992712129,0.5394994582912156,0.7706712908040598,0.7199814232433877,0.005884589330452106,0,,0,,0,0,1,1,1
500,2,0.9,113,17,0.7555657780226674,0.11764705882352944,0.5394994582912156,0.7706712908040598,0.7199814232433877,0.004439341130138996,0,,0,,0,0,1,1,1
500,3,0.7,113,17,0.6186369977867394,0.03800104112441438,0.5167780384159935,0.6780112179253508,0.6273213503646787,0.00873390906696958,0,,0,,0,0,1,1,1
500,3,0.8,113,17,0.6792393541693482,0.03800104112441438,0.5167780384159935,0.6780112179253508,0.6273213503646787,0.007053151477321773,0,,0,,0,0,1,1,1
500,3,0.85,113,17,0.7275219396596617,0.03800104112441438,0.5167780384159935,0.6780112179253508,0.6273213503646787,0.005884589330452106,0,,0,,0,0,1,1,1
500,3,0.9,113,17,0.7666832029818006,0.03800104112441438,0.5167780384159935,0.6780112179253508,0.6273213503646787,0.004439341130138996,0,,0,,0,0,1,1,1
500,4,0.7,86,22,0.5896828847112799,0.03382663847780121,0.4843550774115495,0.8660734908985714,0.8049834790622379,0.00873390906696958,0,,0,,0,0,1,1,1
500,4,0.8,86,22,0.6495681087170143,0.03382663847780121,0.4843550774115495,0.8660734908985714,0.8049834790622379,0.007053151477321773,0,,0,,0,0,1,1,1
500,4,0.85,86,22,0.7475444331942235,0.03382663847780121,0.4843550774115495,0.8660734908985714,0.8049834790622379,0.005884589330452106,0,,0,,0,0,1,1,1
500,4,0.9,86,22,0.7674795189378283,0.03382663847780121,0.4843550774115495,0.8660734908985714,0.8049834790622379,0.004439341130138996,0,,0,,0,0,1,1,1
500,5,0.7,105,20,0.6304137095444861,0.169047619047619,0.4940657473544856,0.6918351290499447,0.6376959340505824,0.00873390906696958,0,,0,,0,0,1,1,1
500,5,0.8,105,20,0.6987429379607095,0.11904761904761907,0.4940657473544856,0.6918351290499447,0.6376959340505824,0.007053151477321773,0,,0,,0,0,1,1,1
500,5,0.85,105,20,0.7525787402196633,0.02619047619047621,0.4940657473544856,0.6918351290499447,0.6376959340505824,0.005884589330452106,0,,0,,0,0,1,1,1
500,5,0.9,105,20,0.7958758999123019,0.0,0.4940657473544856,0.6918351290499447,0.6376959340505824,0.004439341130138996,0,,0,,0,0,1,1,1
500,6,0.7,118,10,0.679181442614227,0.055932203389830515,0.5796607346835851,0.8543651933260924,0.8105815555853084,0.00873390906696958,0,,0,,0,0,1,1,1
500,6,0.8,118,10,0.7426531286189182,0.055932203389830515,0.5796607346835851,0.8543651933260924,0.8105815555853084,0.007053151477321773,0,,0,,0,0,1,1,1
500,6,0.85,118,10,0.8122526075920287,0.055932203389830515,0.5796607346835851,0.8543651933260924,0.8105815555853084,0.005884589330452106,0,,0,,0,0,1,1,1
500,6,0.9,118,10,0.8790428625617416,0.0,0.5796607346835851,0.8543651933260924,0.8105815555853084,0.004439341130138996,0,,0,,0,0,1,1,1
500,7,0.7,105,12,0.6143213853394425,0.0,0.5605198124057827,0.7858371298054008,0.7357767991863874,0.00873390906696958,0,,0,,0,0,1,1,1
500,7,0.8,105,12,0.6689704609364766,0.0,0.5605198124057827,0.7858371298054008,0.7357767991863874,0.007053151477321773,0,,0,,0,0,1,1,1
500,7,0.85,105,12,0.6908536694760647,0.0,0.5605198124057827,0.7858371298054008,0.7357767991863874,0.005884589330452106,0,,0,,0,0,1,1,1
500,7,0.9,105,12,0.7062194617451709,0.0,0.5605198124057827,0.7858371298054008,0.7357767991863874,0.004439341130138996,0,,0,,0,0,1,1,1
500,8,0.7,107,17,0.6168917428609604,0.17811984606926878,0.5177705121567924,0.732973639151044,0.6804763987446418,0.00873390906696958,0,,0,,0,0,1,1,1
500,8,0.8,107,17,0.6866889240664149,0.048378229796591565,0.5177705121567924,0.732973639151044,0.6804763987446418,0.007053151477321773,0,,0,,0,0,1,1,1
