scenario,class_id,radius,lipschitz_constant,weighted_cost,worst_cost,oracle_directional_cost
strong_smoothness,0,0,0.009973297288075951,0.0,0.0,0.0
strong_smoothness,0,1,0.009973297288075951,0.004533316949125432,0.009973297288075951,0.0
strong_smoothness,0,2,0.009973297288075951,0.00893711055684728,0.019946594576151902,0.0
strong_smoothness,0,3,0.009973297288075951,0.013263457218162864,0.029919891864227853,0.0
strong_smoothness,0,4,0.009973297288075951,0.014062349176187093,0.039893189152303804,0.0
strong_smoothness,1,0,0.009973297288075951,0.0,0.0,0.0
strong_smoothness,1,1,0.009973297288075951,0.006735213752986357,0.009973297288075951,0.0010395092999699873
strong_smoothness,1,2,0.009973297288075951,0.009459209798999871,0.019946594576151902,1.1102230246251565e-16
strong_smoothness,1,3,0.009973297288075951,0.010073030260956711,0.029919891864227853,0.0
strong_smoothness,2,0,0.009973297288075951,0.0,0.0,0.0
strong_smoothness,2,1,0.009973297288075951,0.006698483253185341,0.009973297288075951,0.0007488839385014212
strong_smoothness,2,2,0.009973297288075951,0.011070359989764307,0.019946594576151902,0.005886236864802108
strong_smoothness,3,0,0.009973297288075951,0.0,0.0,0.0
strong_smoothness,3,1,0.009973297288075951,0.005540720715597749,0.009973297288075951,0.004211188066927718
strong_smoothness,3,2,0.009973297288075951,0.010685675665795664,0.019946594576151902,0.0098303479409253
strong_smoothness,3,3,0.009973297288075951,0.016455940525325317,0.029919891864227853,0.01585491065390876
strong_smoothness,4,0,0.009973297288075951,0.0,0.0,0.0
strong_smoothness,4,1,0.009973297288075951,0.00867243242441387,0.009973297288075951,0.008672431937807368
strong_smoothness,4,2,0.009973297288075951,0.01418424503193024,0.019946594576151902,0.01418324516957431
strong_smoothness,4,3,0.009973297288075951,0.019804118900607962,0.029919891864227853,0.01980058850864047
strong_smoothness,4,4,0.009973297288075951,0.025830839976116717,0.039893189152303804,0.025822403772904734
moderate_smoothness,0,0,0.06972591456743077,0.0,0.0,0.0
moderate_smoothness,0,1,0.06972591456743077,0.03169359753065035,0.06972591456743077,0.0
moderate_smoothness,0,2,0.06972591456743077,0.06248166370328211,0.13945182913486154,0.0
moderate_smoothness,0,3,0.06972591456743077,0.09272827813606774,0.2091777437022923,0.0
moderate_smoothness,0,4,0.06972591456743077,0.09831353954007739,0.2789036582697231,0.0
