scenario,n_cal,repetition,method,eta,class_id,lipschitz_constant,radius,borrowing_cost,guarantee_floor,slack_floor,own_support,pooled_support,support_multiplier,threshold,finite,actual_coverage
strong_smoothness,200,0,independent_mondrian,,0,0.009973297288075951,0,0.0,0.9,,55,55,1.0,0.6573145946819166,1,0.7842340572294153
strong_smoothness,200,0,independent_mondrian,,1,0.009973297288075951,0,0.0,0.9,,55,55,1.0,0.7263776027440312,1,0.8658288256038233
strong_smoothness,200,0,independent_mondrian,,2,0.009973297288075951,0,0.0,0.9,,42,42,1.0,0.7486041175081257,1,0.8835693448635173
strong_smoothness,200,0,independent_mondrian,,3,0.009973297288075951,0,0.0,0.9,,42,42,1.0,0.7963366068554723,1,0.9202393006310539
strong_smoothness,200,0,independent_mondrian,,4,0.009973297288075951,0,0.0,0.9,,6,6,1.0,,0,1.0
strong_smoothness,200,0,fixed_ordinal_pooling,,0,0.009973297288075951,1,0.004533316949125432,0.8954666830508746,,55,110,2.0,0.6804632373019709,1,0.816555535252675
strong_smoothness,200,0,fixed_ordinal_pooling,,1,0.009973297288075951,1,0.006735213752986357,0.8932647862470137,,55,152,2.7636363636363637,0.7201672718460961,1,0.8589997759402883
strong_smoothness,200,0,fixed_ordinal_pooling,,2,0.009973297288075951,1,0.006698483253185341,0.8933015167468147,,42,139,3.3095238095238093,0.7467248666129016,1,0.8817190981333112
strong_smoothness,200,0,fixed_ordinal_pooling,,3,0.009973297288075951,1,0.005540720715597749,0.8944592792844023,,42,90,2.142857142857143,0.7486041175081257,1,0.8786007696936482
strong_smoothness,200,0,fixed_ordinal_pooling,,4,0.009973297288075951,1,0.00867243242441387,0.8913275675755862,,6,48,8.0,0.7963366068554723,1,0.9164654770477856
strong_smoothness,200,0,approximate_ordinal_borrowing,0.0,0,0.009973297288075951,0,0.0,0.9,0.9,55,55,1.0,0.6573145946819166,1,0.7842340572294153
strong_smoothness,200,0,approximate_ordinal_borrowing,0.0,1,0.009973297288075951,0,0.0,0.9,0.9,55,55,1.0,0.7263776027440312,1,0.8658288256038233
strong_smoothness,200,0,approximate_ordinal_borrowing,0.0,2,0.009973297288075951,0,0.0,0.9,0.9,42,42,1.0,0.7486041175081257,1,0.8835693448635173
strong_smoothness,200,0,approximate_ordinal_borrowing,0.0,3,0.009973297288075951,0,0.0,0.9,0.9,42,42,1.0,0.7963366068554723,1,0.9202393006310539
strong_smoothness,200,0,approximate_ordinal_borrowing,0.0,4,0.009973297288075951,0,0.0,0.9,0.9,6,6,1.0,,0,1.0
strong_smoothness,200,0,approximate_ordinal_borrowing,0.01,0,0.009973297288075951,2,0.00893711055684728,0.8910628894431527,0.89,55,152,2.7636363636363637,0.7201672718460961,1,0.8645160579244373
strong_smoothness,200,0,approximate_ordinal_borrowing,0.01,1,0.009973297288075951,2,0.009459209798999871,0.8905407902010002,0.89,55,194,3.5272727272727273,0.721553782192675,1,0.8605444959474418
strong_smoothness,200,0,approximate_ordinal_borrowing,0.01,2,0.009973297288075951,1,0.006698483253185341,0.8933015167468147,0.89,42,139,3.3095238095238093,0.7467248666129016,1,0.8817190981333112
strong_smoothness,200,0,approximate_ordinal_borrowing,0.01,3,0.009973297288075951,1,0.005540720715597749,0.8944592792844023,0.89,42,90,2.142857142857143,0.7486041175081257,1,0.8786007696936482
strong_smoothness,200,0,approximate_ordinal_borrowing,0.01,4,0.009973297288075951,1,0.00867243242441387,0.8913275675755862,0.89,6,48,8.0,0.7963366068554723,1,0.9164654770477856
strong_smoothness,200,0,approximate_ordinal_borrowing,0.02,0,0.009973297288075951,4,0.014062349176187093,0.8859376508238129,0.88,55,200,3.6363636363636362,0.7201672718460961,1,0.8645160579244373
strong_smoothness,200,0,approximate_ordinal_borrowing,0.02,1,0.009973297288075951,3,0.010073030260956711,0.8899269697390433,0.88,55,200,3.6363636363636362,0.7201672718460961,1,0.8589997759402883
strong_smoothness,200,0,approximate_ordinal_borrowing,0.02,2,0.009973297288075951,2,0.011070359989764307,0.8889296400102357,0.88,42,200,4.761904761904762,0.7201672718460961,1,0.8533331232557428
strong_smoothness,200,0,approximate_ordinal_borrowing,0.02,3,0.009973297288075951,3,0.016455940525325317,0.8835440594746747,0.88,42,200,4.761904761904762,0.7201672718460961,1,0.8475156377267206
strong_smoothness,200,0,approximate_ordinal_borrowing,0.02,4,0.009973297288075951,3,0.019804118900607962,0.8801958810993921,0.88,6,145,24.166666666666668,0.7467248666129016,1,0.8715239191877261
strong_smoothness,200,0,approximate_ordinal_borrowing,0.05,0,0.009973297288075951,4,0.014062349176187093,0.8859376508238129,0.85,55,200,3.6363636363636362,0.7201672718460961,1,0.8645160579244373
strong_smoothness,200,0,approximate_ordinal_borrowing,0.05,1,0.009973297288075951,3,0.010073030260956711,0.8899269697390433,0.85,55,200,3.6363636363636362,0.7201672718460961,1,0.8589997759402883
strong_smoothness,200,0,approximate_ordinal_borrowing,0.05,2,0.009973297288075951,2,0.011070359989764307,0.8889296400102357,0.85,42,200,4.761904761904762,0.7201672718460961,1,0.8533331232557428
strong_smoothness,200,0,approximate_ordinal_borrowing,0.05,3,0.009973297288075951,3,0.016455940525325317,0.8835440594746747,0.85,42,200,4.761904761904762,0.7201672718460961,1,0.8475156377267206
strong_smoothness,200,0,approximate_ordinal_borrowing,0.05,4,0.009973297288075951,4,0.025830839976116717,0.8741691600238833,0.85,6,200,33.333333333333336,0.7201672718460961,1,0.8415470358886412
strong_smoothness,200,1,independent_mondrian,,0,0.009973297288075951,0,0.0,0.9,,62,62,1.0,0.8684170340994138,1,0.9672686536906114
strong_smoothness,200,1,independent_mondrian,,1,0.009973297288075951,0,0.0,0.9,,46,46,1.0,0.7413349727406116,1,0.881332632098285
strong_smoothness,200,1,independent_mondrian,,2,0.009973297288075951,0,0.0,0.9,,47,47,1.0,0.8439977934199772,1,0.9525392267521604
strong_smoothness,200,1,independent_mondrian,,3,0.009973297288075951,0,0.0,0.9,,38,38,1.0,0.7721198940096989,1,0.9007085591017001
strong_smoothness,200,1,independent_mondrian,,4,0.009973297288075951,0,0.0,0.9,,7,7,1.0,,0,1.0
strong_smoothness,200,1,fixed_ordinal_pooling,,0,0.009973297288075951,1,0.004533316949125432,0.8954666830508746,,62,108,1.7419354838709677,0.8335307936319737,1,0.952307780877591
strong_smoothness,200,1,fixed_ordinal_pooling,,1,0.009973297288075951,1,0.006735213752986357,0.8932647862470137,,46,155,3.369565217391304,0.8264574166895298,1,0.9460042967897546
strong_smoothness,200,1,fixed_ordinal_pooling,,2,0.009973297288075951,1,0.006698483253185341,0.8933015167468147,,47,131,2.7872340425531914,0.7521178786421199,1,0.8869735943088597
strong_smoothness,200,1,fixed_ordinal_pooling,,3,0.009973297288075951,1,0.005540720715597749,0.8944592792844023,,38,92,2.4210526315789473,0.7717584490762766,1,0.9003926711882759
strong_smoothness,200,1,fixed_ordinal_pooling,,4,0.009973297288075951,1,0.00867243242441387,0.8913275675755862,,7,45,6.428571428571429,0.7521178786421199,1,0.8770955395290311
strong_smoothness,200,1,approximate_ordinal_borrowing,0.0,0,0.009973297288075951,0,0.0,0.9,0.9,62,62,1.0,0.8684170340994138,1,0.9672686536906114
strong_smoothness,200,1,approximate_ordinal_borrowing,0.0,1,0.009973297288075951,0,0.0,0.9,0.9,46,46,1.0,0.7413349727406116,1,0.881332632098285
strong_smoothness,200,1,approximate_ordinal_borrowing,0.0,2,0.009973297288075951,0,0.0,0.9,0.9,47,47,1.0,0.8439977934199772,1,0.9525392267521604
strong_smoothness,200,1,approximate_ordinal_borrowing,0.0,3,0.009973297288075951,0,0.0,0.9,0.9,38,38,1.0,0.7721198940096989,1,0.9007085591017001
strong_smoothness,200,1,approximate_ordinal_borrowing,0.0,4,0.009973297288075951,0,0.0,0.9,0.9,7,7,1.0,,0,1.0
strong_smoothness,200,1,approximate_ordinal_borrowing,0.01,0,0.009973297288075951,2,0.00893711055684728,0.8910628894431527,0.89,62,155,2.5,0.8264574166895298,1,0.9486904885172187
strong_smoothness,200,1,approximate_ordinal_borrowing,0.01,1,0.009973297288075951,2,0.009459209798999871,0.8905407902010002,0.89,46,193,4.195652173913044,0.7828391455512238,1,0.9176133797539361
strong_smoothness,200,1,approximate_ordinal_borrowing,0.01,2,0.009973297288075951,1,0.006698483253185341,0.8933015167468147,0.89,47,131,2.7872340425531914,0.7521178786421199,1,0.8869735943088597
strong_smoothness,200,1,approximate_ordinal_borrowing,0.01,3,0.009973297288075951,1,0.005540720715597749,0.8944592792844023,0.89,38,92,2.4210526315789473,0.7717584490762766,1,0.9003926711882759
strong_smoothness,200,1,approximate_ordinal_borrowing,0.01,4,0.009973297288075951,1,0.00867243242441387,0.8913275675755862,0.89,7,45,6.428571428571429,0.7521178786421199,1,0.8770955395290311
strong_smoothness,200,1,approximate_ordinal_borrowing,0.02,0,0.009973297288075951,4,0.014062349176187093,0.8859376508238129,0.88,62,200,3.225806451612903,0.7721198940096989,1,0.9131798504154631
strong_smoothness,200,1,approximate_ordinal_borrowing,0.02,1,0.009973297288075951,3,0.010073030260956711,0.8899269697390433,0.88,46,200,4.3478260869565215,0.7721198940096989,1,0.9091598882714991
strong_smoothness,200,1,approximate_ordinal_borrowing,0.02,2,0.009973297288075951,2,0.011070359989764307,0.8889296400102357,0.88,47,200,4.25531914893617,0.7721198940096989,1,0.9050034408116913
strong_smoothness,200,1,approximate_ordinal_borrowing,0.02,3,0.009973297288075951,3,0.016455940525325317,0.8835440594746747,0.88,38,200,5.2631578947368425,0.7721198940096989,1,0.9007085591017001
strong_smoothness,200,1,approximate_ordinal_borrowing,0.02,4,0.009973297288075951,3,0.019804118900607962,0.8801958810993921,0.88,7,138,19.714285714285715,0.7521178786421199,1,0.8770955395290311
strong_smoothness,200,1,approximate_ordinal_borrowing,0.05,0,0.009973297288075951,4,0.014062349176187093,0.8859376508238129,0.85,62,200,3.225806451612903,0.7721198940096989,1,0.9131798504154631
strong_smoothness,200,1,approximate_ordinal_borrowing,0.05,1,0.009973297288075951,3,0.010073030260956711,0.8899269697390433,0.85,46,200,4.3478260869565215,0.7721198940096989,1,0.9091598882714991
strong_smoothness,200,1,approximate_ordinal_borrowing,0.05,2,0.009973297288075951,2,0.011070359989764307,0.8889296400102357,0.85,47,200,4.25531914893617,0.7721198940096989,1,0.9050034408116913
strong_smoothness,200,1,approximate_ordinal_borrowing,0.05,3,0.009973297288075951,3,0.016455940525325317,0.8835440594746747,0.85,38,200,5.2631578947368425,0.7721198940096989,1,0.9007085591017001
strong_smoothness,200,1,approximate_ordinal_borrowing,0.05,4,0.009973297288075951,4,0.025830839976116717,0.8741691600238833,0.85,7,200,28.571428571428573,0.7721198940096989,1,0.8962734051565262
strong_smoothness,200,2,independent_mondrian,,0,0.009973297288075951,0,0.0,0.9,,67,67,1.0,0.8751716979125574,1,0.9696626430255482
strong_smoothness,200,2,independent_mondrian,,1,0.009973297288075951,0,0.0,0.9,,47,47,1.0,0.7588386529967437,1,0.8978139287068649
strong_smoothness,200,2,independent_mondrian,,2,0.009973297288075951,0,0.0,0.9,,35,35,1.0,0.6807107541742856,1,0.8033238588256946
strong_smoothness,200,2,independent_mondrian,,3,0.009973297288075951,0,0.0,0.9,,47,47,1.0,0.8773158069732387,1,0.9649743666037442
strong_smoothness,200,2,independent_mondrian,,4,0.009973297288075951,0,0.0,0.9,,4,4,1.0,,0,1.0
strong_smoothness,200,2,fixed_ordinal_pooling,,0,0.009973297288075951,1,0.004533316949125432,0.8954666830508746,,67,114,1.7014925373134329,0.8129896692922975,1,0.9412024893535649
strong_smoothness,200,2,fixed_ordinal_pooling,,1,0.009973297288075951,1,0.006735213752986357,0.8932647862470137,,47,149,3.1702127659574466,0.7708402517648911,1,0.9081092100523038
strong_smoothness,200,2,fixed_ordinal_pooling,,2,0.009973297288075951,1,0.006698483253185341,0.8933015167468147,,35,129,3.6857142857142855,0.7699265977465248,1,0.9031366062053867
strong_smoothness,200,2,fixed_ordinal_pooling,,3,0.009973297288075951,1,0.005540720715597749,0.8944592792844023,,47,86,1.8297872340425532,0.823681133414832,1,0.9386338102285448
strong_smoothness,200,2,fixed_ordinal_pooling,,4,0.009973297288075951,1,0.00867243242441387,0.8913275675755862,,4,51,12.75,0.8773158069732387,1,0.9629972236521113
strong_smoothness,200,2,approximate_ordinal_borrowing,0.0,0,0.009973297288075951,0,0.0,0.9,0.9,67,67,1.0,0.8751716979125574,1,0.9696626430255482
