scenario,n_cal,method,eta,class_id,repetitions,mean_own_support,mean_pooled_support,mean_support_multiplier,mean_radius,mean_cost,guarantee_floor,mean_actual_coverage,finite_rate,realized_threshold_above_floor_rate
local_discontinuity,200,approximate_ordinal_borrowing,0.0,0,100,59.94,59.94,1.0,0.0,0.0,0.9,0.9008345800362214,1,0.55
local_discontinuity,200,approximate_ordinal_borrowing,0.0,1,100,50.26,50.26,1.0,0.0,0.0,0.9,0.9113317132870581,1,0.65
local_discontinuity,200,approximate_ordinal_borrowing,0.0,2,100,44.26,44.26,1.0,0.0,0.0,0.9,0.9085392241801119,1,0.62
local_discontinuity,200,approximate_ordinal_borrowing,0.0,3,100,39.4,39.4,1.0,0.0,0.0,0.9,0.911006426852681,1,0.59
local_discontinuity,200,approximate_ordinal_borrowing,0.0,4,100,6.14,6.14,1.0,0.0,0.0,0.9,0.983247023663106,0.17,0.93
local_discontinuity,200,approximate_ordinal_borrowing,0.01,0,100,59.94,59.94,1.0,0.0,0.0,0.9,0.9008345800362214,1,0.55
local_discontinuity,200,approximate_ordinal_borrowing,0.01,1,100,50.26,50.26,1.0,0.0,0.0,0.9,0.9113317132870581,1,0.65
local_discontinuity,200,approximate_ordinal_borrowing,0.01,2,100,44.26,44.26,1.0,0.0,0.0,0.9,0.9085392241801119,1,0.62
local_discontinuity,200,approximate_ordinal_borrowing,0.01,3,100,39.4,39.4,1.0,0.0,0.0,0.9,0.911006426852681,1,0.59
local_discontinuity,200,approximate_ordinal_borrowing,0.01,4,100,6.14,6.14,1.0,0.0,0.0,0.9,0.983247023663106,0.17,0.93
local_discontinuity,200,approximate_ordinal_borrowing,0.02,0,100,59.94,59.94,1.0,0.0,0.0,0.9,0.9008345800362214,1,0.55
local_discontinuity,200,approximate_ordinal_borrowing,0.02,1,100,50.26,50.26,1.0,0.0,0.0,0.9,0.9113317132870581,1,0.65
local_discontinuity,200,approximate_ordinal_borrowing,0.02,2,100,44.26,44.26,1.0,0.0,0.0,0.9,0.9085392241801119,1,0.62
local_discontinuity,200,approximate_ordinal_borrowing,0.02,3,100,39.4,39.4,1.0,0.0,0.0,0.9,0.911006426852681,1,0.59
local_discontinuity,200,approximate_ordinal_borrowing,0.02,4,100,6.14,6.14,1.0,0.0,0.0,0.9,0.983247023663106,0.17,0.93
local_discontinuity,200,approximate_ordinal_borrowing,0.05,0,100,59.94,59.94,1.0,0.0,0.0,0.9,0.9008345800362214,1,0.55
local_discontinuity,200,approximate_ordinal_borrowing,0.05,1,100,50.26,50.26,1.0,0.0,0.0,0.9,0.9113317132870581,1,0.65
local_discontinuity,200,approximate_ordinal_borrowing,0.05,2,100,44.26,44.26,1.0,0.0,0.0,0.9,0.9085392241801119,1,0.62
local_discontinuity,200,approximate_ordinal_borrowing,0.05,3,100,39.4,39.4,1.0,0.0,0.0,0.9,0.911006426852681,1,0.59
local_discontinuity,200,approximate_ordinal_borrowing,0.05,4,100,6.14,6.14,1.0,0.0,0.0,0.9,0.983247023663106,0.17,0.93
local_discontinuity,200,fixed_ordinal_pooling,,0,100,59.94,110.2,1.8523428531243662,1.0,0.2416127134430046,0.6583872865569954,0.903388645221066,1,1
local_discontinuity,200,fixed_ordinal_pooling,,1,100,50.26,154.46,3.1159550463627457,1.0,0.358967459972464,0.541032540027536,0.8990042076115806,1,1
local_discontinuity,200,fixed_ordinal_pooling,,2,100,44.26,133.92,3.091735252784428,1.0,0.35700983031130534,0.5429901696886947,0.9767233551510328,1,1
local_discontinuity,200,fixed_ordinal_pooling,,3,100,39.4,89.8,2.315251388837917,1.0,0.29530442754145003,0.60469557245855,0.8221961901298556,1,1
local_discontinuity,200,fixed_ordinal_pooling,,4,100,6.14,45.54,9.118680014430014,1.0,0.46221562571705227,0.43778437428294775,0.9042264291778515,1,1
local_discontinuity,200,independent_mondrian,,0,100,59.94,59.94,1.0,0.0,0.0,0.9,0.9008345800362214,1,0.55
local_discontinuity,200,independent_mondrian,,1,100,50.26,50.26,1.0,0.0,0.0,0.9,0.9113317132870581,1,0.65
local_discontinuity,200,independent_mondrian,,2,100,44.26,44.26,1.0,0.0,0.0,0.9,0.9085392241801119,1,0.62
