rare_count,method,class_id,mean_coverage,coverage_sd,mean_set_size,set_size_sd,mean_ordinal_span,full_set_rate,mean_preliminary_threshold,preliminary_threshold_variance,mean_correction,correction_sd,final_threshold_variance,infinite_correction_rate,calibration_support
5,independent_mondrian,0,1.0,0.0,1.532287652073688,0.11667255332282067,1.5333976717259963,0.0,0.0,0.0,inf,inf,inf,1,5
5,independent_mondrian,1,0.9036755989669603,0.031535501466458865,2.5626123762676225,0.11263724999558884,2.6129123124382976,0.0,0.0,0.0,0.5892069753856369,0.07036041551989144,0.0,0,100
5,independent_mondrian,2,0.8983398518840997,0.0369553685738695,3.1546109556190585,0.13114338466035128,3.7245926341686917,0.0,0.0,0.0,0.6533760013348511,0.08246512800938552,0.0,0,100
5,independent_mondrian,3,0.9024214366668714,0.031100727293390817,3.2057218961227503,0.12513983145639193,4.6190777822847195,0.0,0.0,0.0,0.7236008178014712,0.07782708723092387,0.0,0,100
5,independent_mondrian,4,0.8958210479848504,0.03800101859344731,2.6288419090606436,0.08052680845472393,4.732881061480329,0.0,0.0,0.0,0.784744048719225,0.09873078364434708,0.0,0,100
5,input_dependent_nonordinal,0,1.0,0.0,1.4649568576368848,0.05228406697286404,1.465290643660231,0.00022269539274778955,0.46334832481360516,0.033933038209123585,inf,inf,inf,1,5
5,input_dependent_nonordinal,1,0.90602341345435,0.029994770543948647,2.503032036517084,0.06629707525000307,2.5488241190760523,0.00457082014858582,0.5349560403983161,0.036097594911724644,0.012970173460702972,0.04408547618001872,0.036097594911724644,0,100
5,input_dependent_nonordinal,2,0.9008731365774942,0.03487353433278285,2.998702857488953,0.09001473149300637,3.6484800361030802,0.012043331949939855,0.6060665050933672,0.03873199941156034,0.011680190469783698,0.05160318302175959,0.03873199941156034,0,100
5,input_dependent_nonordinal,3,0.9084337939946165,0.031874184064978606,3.047043616507568,0.08205678508881786,4.530920041609009,0.009056897802857839,0.6789811766692319,0.0428704098122241,0.020737464667461097,0.07020213242448672,0.0428704098122241,0,100
5,input_dependent_nonordinal,4,0.8964400363496015,0.029541767168103552,2.578107567560891,0.07260058775331041,4.737190332673364,0.0031731671850627526,0.7556652269283767,0.0480015513877052,-0.002619996627547834,0.06059853325284552,0.0480015513877052,0,100
5,input_dependent_ordinal,0,1.0,0.0,1.4619198994326545,0.0527951722307246,1.462253685456001,0.0001448743810746378,0.45872617311254316,0.03238594447108406,inf,inf,inf,1,5
5,input_dependent_ordinal,1,0.904426720476336,0.030773315788222136,2.498838615724107,0.0649727424291949,2.544980619635592,0.004204929072129604,0.5347358046123836,0.035803883809201284,0.011112405834554669,0.04347066286399107,0.035803883809201284,0,100
5,input_dependent_ordinal,2,0.8998267983138442,0.03385900623824996,2.99560849564106,0.09081661858234517,3.6470954805984404,0.011370509001551964,0.60723369599408,0.039119854599206805,0.008447278787805053,0.049478082270742824,0.039119854599206805,0,100
5,input_dependent_ordinal,3,0.9082564310867068,0.032985028718023265,3.0440691389714964,0.08493279050442593,4.530613849384511,0.008440125580478602,0.680912128167402,0.04321733718288501,0.01942492271621407,0.0680429019482268,0.04321733718288501,0,100
5,input_dependent_ordinal,4,0.8962325061071398,0.03075318811813695,2.576438368671909,0.07355609070692215,4.736403555507683,0.0030069571448669247,0.753514920083632,0.04715202863569532,-0.0014036532287528558,0.06306705479383122,0.04715202863569532,0,100
5,ordinal_cluster,0,0.9338967846887996,0.034632141240112234,1.5180469341350575,0.11152396640171901,1.5180469341350575,0.0,0.0,0.0,0.5983798899623239,0.0674017465716264,0.0,0,5
5,ordinal_cluster,1,0.9177354091242368,0.025040644455278628,2.0673398064914417,0.14546875231414147,2.0673398064914417,0.0,0.0,0.0,0.6193484589515721,0.05268192669541649,0.0,0,100
5,ordinal_cluster,2,0.9018240792022687,0.019111832828857766,2.230682857546971,0.12469266098545667,2.230682857546971,0.0,0.0,0.0,0.6523563654928958,0.039953254703588265,0.0,0,100
5,ordinal_cluster,3,0.9018224905212591,0.020170279905834646,2.1922668575774034,0.104615128926601,2.1922668575774034,0.0,0.0,0.0,0.7160190434216517,0.047103570235979976,0.0,0,100
5,ordinal_cluster,4,0.8862963126966518,0.025083929541697574,1.6128586859558671,0.07675759374282087,1.6128586859558671,0.0,0.0,0.0,0.7508613317196245,0.05904347546641836,0.0,0,100
10,independent_mondrian,0,0.8921402045497957,0.10684337556787743,1.4176690503388347,0.14876773316288383,1.4176690503388347,0.0,0.0,0.0,0.566942895095977,0.19369977143243433,0.0,0,10
10,independent_mondrian,1,0.9031877327376411,0.032829934903335356,2.060318450633808,0.2400710006465397,2.060318450633808,0.0,0.0,0.0,0.5840744013570587,0.07139245480314822,0.0,0,100
10,independent_mondrian,2,0.9128427485963841,0.02875284322074271,2.2414254615593987,0.15912762050783957,2.2414254615593987,0.0,0.0,0.0,0.679765289904732,0.07340723880991878,0.0,0,100
