scenario,rare_count,repetition,method,class_id,test_count,coverage,mean_set_size,mean_ordinal_span,full_set_rate,mean_preliminary_threshold,preliminary_threshold_variance,mean_correction,final_threshold_variance,correction_is_infinite,calibration_support
A_well_specified,100,0,independent_mondrian,2,1169,0.9230111206159111,2.3139435414884515,2.3139435414884515,0,0.0,0.0,0.7002449402434919,0.0,0,100
A_well_specified,100,0,independent_mondrian,3,1174,0.9540034071550255,2.2385008517887566,2.2385008517887566,0,0.0,0.0,0.8664554787874645,0.0,0,100
A_well_specified,100,0,independent_mondrian,0,257,0.9260700389105059,1.4980544747081712,1.4980544747081712,0,0.0,0.0,0.557472048693666,0.0,0,100
A_well_specified,100,0,independent_mondrian,1,1179,0.9033078880407125,2.1365564037319764,2.1365564037319764,0,0.0,0.0,0.5887400664235715,0.0,0,100
A_well_specified,100,0,independent_mondrian,4,1221,0.8501228501228502,1.7346437346437347,1.7346437346437347,0,0.0,0.0,0.7067928514625537,0.0,0,100
A_well_specified,100,0,ordinal_cluster,2,1169,0.9213002566295979,2.201026518391788,2.201026518391788,0,0.0,0.0,0.6938300316926597,0.0,0,100
A_well_specified,100,0,ordinal_cluster,3,1174,0.9165247018739353,2.246166950596252,2.246166950596252,0,0.0,0.0,0.7256625531630577,0.0,0,100
A_well_specified,100,0,ordinal_cluster,0,257,0.9299610894941635,1.5019455252918288,1.5019455252918288,0,0.0,0.0,0.5649722086929706,0.0,0,100
A_well_specified,100,0,ordinal_cluster,1,1179,0.9050042408821035,2.0695504664970312,2.0695504664970312,0,0.0,0.0,0.5908793356848441,0.0,0,100
A_well_specified,100,0,ordinal_cluster,4,1221,0.8820638820638821,1.6543816543816543,1.6543816543816543,0,0.0,0.0,0.7561559366501738,0.0,0,100
A_well_specified,100,0,input_dependent_nonordinal,2,1169,0.9033361847733106,2.1103507271171944,2.1103507271171944,0,0.6134106636252633,0.042260318338829664,0.015704138509161747,0.042260318338829664,0,100
A_well_specified,100,0,input_dependent_nonordinal,3,1174,0.9514480408858603,2.0885860306643953,2.0885860306643953,0,0.6641540862487688,0.05089794345247879,0.12276763200481233,0.05089794345247879,0,100
A_well_specified,100,0,input_dependent_nonordinal,0,257,0.8443579766536965,1.3035019455252919,1.3035019455252919,0,0.47748805422634866,0.037652850183739144,-0.05643462315061604,0.037652850183739144,0,100
A_well_specified,100,0,input_dependent_nonordinal,1,1179,0.8821034775233249,1.8388464800678541,1.8388464800678541,0,0.5399805842292723,0.03599947011671155,-0.024349616877402003,0.03599947011671155,0,100
